Minase Station	水無瀬駅（みなせ）
Minato Station	湊駅（みなと）
Minatochō Station	港町駅（みなとちょう）
Minatogawa Station	湊川駅（みなとがわ）
Minatogawakōen Station	湊川公園駅（みなとがわこうえん）
Minatojima Station	みなとじま駅（みなとじま）
Minato Kuyakusho Station	港区役所駅（みなとくやくしょ）
Minatomirai Station	みなとみらい駅
Minatomotomachi Station	みなと元町駅（みなともとまち）
Minatoyama Station	港山駅（みなとやま）
Minawa Station	三縄駅（みなわ）
Mine Station	美祢駅（みね）
Minenobu Station	峰延駅（みねのぶ）
Mineyama Station	峰山駅（みねやま）
Mineyoshikawa Station	峰吉川駅（みねよしかわ）
Mino Station	みの駅
Mino-Akasaka Station	美濃赤坂駅（みのあかさか）
Minobayashi Station	見能林駅（みのばやし）
Minobu Station	身延駅（みのぶ）
Mino-Hongō Station	美濃本郷駅（みのほんごう）
Mino-Kawai Station	美濃川合駅（みのかわい）
Mino-Matsuyama Station	美濃松山駅（みのまつやま）
Minoo Station	箕面駅（みのお）
Mino-Ōkubo Station	美濃大久保駅（みのおおくぼ）
Mino-Ōta Station	美濃太田駅（みのおおた）
Minoridai Station	みのり台駅（みのりだい）
Mino-Sakamoto Station	美乃坂本駅（みのさかもと）
Minose Station	三野瀬駅（みのせ）
Minoshi Station	美濃市駅（みのし）
Minoshima Station	箕島駅（みのしま）
Mino-Shirotori Station	美濃白鳥駅（みのしろとり）
Mino-Takada Station	美濃高田駅（みのたかだ）
Minotani Station	箕谷駅（みのたに）
Mino-Tsuya Station	美濃津屋駅（みのつや）
Minoura Station	箕浦駅（みのうら）
Minowa Station	三ノ輪駅（みのわ）
Minowabashi Station	三ノ輪橋駅（みのわばし）
Mino-Yamazaki Station	美濃山崎駅（みのやまざき）
Mino-Yanagi Station	美濃青柳駅（みのやなぎ）
Minumadai-shinsuikōen Station	見沼代親水公園駅（みぬまだいしんすいこうえん）
Miraidaira Station	みらい平駅（みらいだいら）
Mirasaka Station	三良坂駅（みらさか）
Mirozu Station	見老津駅（みろづ）
Misaki Station (Hokkaido)	御崎駅（みさき）
Misaki Station (Chiba)	三咲駅（みさき）
Misakigaoka Station	美咲が丘駅（みさきがおか）
Misakiguchi Station	三崎口駅（みさきぐち）
Misakikōen Station (Osaka)	みさき公園駅（みさきこうえん）
Misakikōen Station (Hyogo)	御崎公園駅（みさきこうえん）
Misakubo Station	水窪駅（みさくぼ）
Misasagi Station	御陵駅（みささぎ）
Misashima Station	美佐島駅（みさしま）
Misato Station (Mie)	三里駅（みさと）
Misato Station (Nagano)	美里駅（みさと）
Misato Station (Saitama)	三郷駅 (埼玉県)（みさと）
Misatochūō Station	三郷中央駅（みさとちゅうおう）
Misawa Station	三沢駅 (青森県)（みさわ）
Misedani Station	三瀬谷駅（みせだに）
Mishima Station	三島駅（みしま）
Mishima-Futsukamachi Station	三島二日町駅（みしまふつかまち）
Mishima-Hirokōji Station	三島広小路駅（みしまひろこうじ）
Mishima-Tamachi Station	三島田町駅（みしまたまち）
Misono Station	美園駅（みその）
Misono-Chūōkōen Station	美薗中央公園駅（みそのちゅうおうこうえん）
Misumi Station	三角駅（みすみ）
Mita Station	三田駅 (東京都)（みた）
Mitaka Station	三鷹駅（みたか）
Mitakadai Station	三鷹台駅（みたかだい）
Mitake Station (Gifu)	御嵩駅（みたけ）
Mitake Station (Tokyo)	御嶽駅（みたけ）
Mitakedaira Station	御岳平駅（みたけだいら）
Mitakedō Station	御岳堂駅（みたけどう）
Mitakeguchi Station	御嵩口駅（みたけぐち）
Mitakesan Station	御岳山駅（みたけさん）
Mitaki Station	三滝駅（みたき）
